标题,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
奇迹 / 奇跡,5,2019/1/14,"是枝裕和的电影总是能把普通的生活拍得如童话一般。孩子们遇见的每个人都是充满爱心的人。老师，图书馆的女老师，爷爷，去看火车夜宿的那家老爷爷老奶奶。
2020.06.27二刷：这次记住的，是半夜留宿的老爷爷老奶奶门口那静静摆好的碗筷。",2011/6/11,日本,https://movie.douban.com/subject/4832288/
狗十三,5,2019/1/13,想养一只猫。最喜欢的是电影的第一幕：脸上开始有青春痘的女孩，机灵的眼球在眼眶里打转，脑子里是青春期的各种烦恼，偶尔冒出一些稀奇古怪的想法。,2013/10/11,华语青年影像论坛,https://movie.douban.com/subject/25716096/
无名之辈,3,2019/1/11,前面挺不错的，后半段什么鬼。,2018/11/16,中国大陆,https://movie.douban.com/subject/27110296/
我能说 / 아이 캔 스피크,4,2018/12/22,剧本可以拍得更好的。原本可以让人泪流满面的地方，却拍得没有那种感觉。,2017/9/21,韩国,https://movie.douban.com/subject/27000061/
西西里的美丽传说 / Malèna,5,2018/12/17,这人间丑陋，无知，懦弱的灵魂啊。如果说西西里是美丽的，那么在这部电影里也只有女主是美丽的，无知群众都是丑恶的。,2000/10/27,意大利,https://movie.douban.com/subject/1292402/
天堂电影院 / Nuovo Cinema Paradiso,5,2018/12/16,经典电影就是有这样的力量，在某个不经意间，以一个全新的方式出现在另一部电影里。比如在女孩窗下站上99天，又或者是梦想重要还是爱情更重要。看的是导演剪辑版，后半部分较为冗长。,1988/11/17,意大利,https://movie.douban.com/subject/1291828/
登月第一人 / First Man,4,2018/12/15,不太喜欢女主的设定。,2018/8/29,威尼斯电影节,https://movie.douban.com/subject/3026559/
末代皇帝 / The Last Emperor,4,2018/12/13,最喜欢溥仪出宫的场景，配乐神了。整部电影是一出外国人眼中的中国末代皇帝史诗，较有代表性的是对慈禧形象的刻画，有一些西方女巫的影子。但纵观整部片子，并没有觉得中国人说英语有多么的违和，对历史的还原和想象比较让人信服。,1987/10/4,东京国际电影节,https://movie.douban.com/subject/1293172/
一次别离 / جدایی نادر از س...,5,2018/12/10,这是什么神仙电影！我已经不知道该怎么吹它了。对人物感情的刻画不能再好了。,2011/2/15,柏林电影节,https://movie.douban.com/subject/5964718/
找到你,3,2018/12/9,马伊琍的表演最好，其次剧本不错，案件的进展过程也很流畅。不足，有些地方台词略显生硬，前半段感觉拍得不够用心。最后结局减半星，作为本方代理律师，不能说出这种话。,2018/6/17,上海电影节,https://movie.douban.com/subject/27140071/
小鞋子 / بچه های آسمان,5,2018/12/9,小鞋子想要表现的不仅仅是小孩子的纯真的心灵，还有每个人之间的，共同的真善美。即使家里没糖了，爸爸也不会去偷偷的用别人的糖。电影镜头简单纯粹，正如孩子的心灵。最喜欢的就是那一次次的笑容。,1997/2/1,曙光旬国际电影节,https://movie.douban.com/subject/1303021/
本杰明·巴顿奇事 / The Curious Case of Benjamin Button,3,2018/12/8,"本杰明巴顿的大型流水帐。后几十分钟其实还不错。但因为要讲述的时间太长，片段过多，加上镜头切换速度过快，就给人一种“点到即止”的感觉。人物之间的感情来得快，伴随着一个场景的结束也立即戛然而止。所以我并没有被感动到。
可以感觉得到这是一个想要拍成阿甘正传的故事，但两个多小时过去了，却给了我什么都没说的感觉。",2008/12/25,美国,https://movie.douban.com/subject/1485260/
福原爱：镜头下的四分之一个世纪 / だから君を見つめてきた～卓球...,4,2018/12/3,可爱,2017/2/10,日本,https://movie.douban.com/subject/26974345/
赛德克·巴莱(上)：太阳旗 / 賽德克·巴萊(上)太陽旗,4,2018/12/3,,2011/9/9,中国台湾,https://movie.douban.com/subject/10450409/
到阜阳六百里,5,2018/12/3,"""回家了，不回来了。""听了让人想哭。",2011/12/23,中国台湾,https://movie.douban.com/subject/4291275/
美食总动员 / Ratatouille,4,2018/12/1,最好吃的菜是妈妈做的菜。,2007/6/29,美国,https://movie.douban.com/subject/1793491/
无敌破坏王 / Wreck-It Ralph,4,2018/11/30,"I’m bad,and that’s good.(1 有用)",2012/11/2,美国,https://movie.douban.com/subject/6534248/
唐山大地震,,2018/11/22,,2010/7/22,中国大陆,https://movie.douban.com/subject/3596502/
功夫,5,2018/11/22,,2004/9/14,多伦多电影节,https://movie.douban.com/subject/1291543/
疯狂的石头,5,2018/11/22,,2006/6/30,中国大陆,https://movie.douban.com/subject/1862151/
源代码 / Source Code,,2018/11/22,,2011/3/11,西南偏南电影节,https://movie.douban.com/subject/3075287/
战争之王 / Lord of War,,2018/11/22,,2005/9/16,美国,https://movie.douban.com/subject/1419936/
蓝色大门 / 藍色大門,,2018/11/22,,2002/9/27,中国台湾,https://movie.douban.com/subject/1308575/
南京！南京！,,2018/11/22,,2009/4/22,中国大陆,https://movie.douban.com/subject/2294568/
志明与春娇 / 志明與春嬌,,2018/11/22,,2010/3/25,中国香港,https://movie.douban.com/subject/4305436/
泰坦尼克号 / Titanic,5,2018/11/22,煽情片段可以用绝美来形容了。,1997/11/1,东京电影节,https://movie.douban.com/subject/1292722/
疯狂的麦克斯4：狂暴之路 / Mad Max: Fury Road,,2018/11/22,,2015/5/14,澳大利亚,https://movie.douban.com/subject/3592854/
一个都不能少,5,2018/11/22,,1999/9/7,威尼斯电影节,https://movie.douban.com/subject/1294963/
哈利·波特与死亡圣器(上) / Harry Potter and the Deathly Hallow...,,2018/11/22,,2010/11/19,中国大陆,https://movie.douban.com/subject/2051007/
夜·店,,2018/11/22,,,,https://movie.douban.com/subject/3683409/
复仇者联盟 / The Avengers,,2018/11/22,,2012/5/4,美国,https://movie.douban.com/subject/1866479/
蜡笔小新：呼风唤雨！猛烈！大人帝国的反击 / クレヨンしんちゃん ...,4,2018/11/22,,2001/4/21,日本,https://movie.douban.com/subject/1958667/
海上钢琴师 / La leggenda del pianista sull'oceano,5,2018/11/22,,1998/10/28,意大利,https://movie.douban.com/subject/1292001/
秒速5厘米 / 秒速5センチメートル,,2018/11/22,,2007/3/3,日本,https://movie.douban.com/subject/2043546/
变形金刚 / Transformers,,2018/11/22,,2007/7/3,美国,https://movie.douban.com/subject/1794171/
龙门飞甲,,2018/11/22,,2011/12/15,中国大陆,https://movie.douban.com/subject/4896304/
八月迷情 / August Rush,,2018/11/22,,2007/11/21,美国,https://movie.douban.com/subject/1844413/
不要和陌生人说话,,2018/11/22,,2001/10/22,中国大陆,https://movie.douban.com/subject/2148374/
哈利·波特与阿兹卡班的囚徒 / Harry Potter and the Prisoner of ...,,2018/11/22,,2004/5/31,英国,https://movie.douban.com/subject/1291544/
人在囧途,,2018/11/22,,2010/6/4,中国大陆,https://movie.douban.com/subject/4237879/
赛德克·巴莱(下)：彩虹桥 / 賽德克·巴萊(下)彩虹橋,,2018/11/22,,2011/9/30,中国台湾,https://movie.douban.com/subject/6393127/
加勒比海盗 / Pirates of the Caribbean: The Curse of the Black ...,,2018/11/22,,2003/7/9,美国,https://movie.douban.com/subject/1298070/
笑林小子,,2018/11/22,,1994/4/15,中国香港,https://movie.douban.com/subject/1408312/
玩具总动员3 / Toy Story 3,,2018/11/22,,2010/6/16,中国大陆,https://movie.douban.com/subject/1858711/
白丝带 / Das weiße Band – Eine deutsche Kindergeschichte,,2018/11/22,,2009/9/17,德国,https://movie.douban.com/subject/2464346/
"怪兽电力公司 / Monsters, Inc.",5,2018/11/22,,2001/11/2,美国,https://movie.douban.com/subject/1291579/
变形金刚3 / Transformers: Dark of the Moon,,2018/11/22,,2011/6/29,美国,https://movie.douban.com/subject/3610047/
冰川时代 / Ice Age,,2018/11/22,,2002/3/15,美国,https://movie.douban.com/subject/1291578/
禁闭岛 / Shutter Island,,2018/11/22,,2010/2/13,柏林电影节,https://movie.douban.com/subject/2334904/
哈利·波特与混血王子 / Harry Potter and the Half-Blood Prince,,2018/11/22,,2009/7/6,英国,https://movie.douban.com/subject/1433330/
叶问2：宗师传奇,,2018/11/22,,2010/4/27,中国大陆,https://movie.douban.com/subject/3578981/
让子弹飞,3,2018/11/22,,2010/12/16,中国大陆,https://movie.douban.com/subject/3742360/
搏击俱乐部 / Fight Club,,2018/11/22,,1999/9/10,威尼斯电影节,https://movie.douban.com/subject/1292000/
叶问 / 葉問,,2018/11/22,,2008/12/12,中国大陆,https://movie.douban.com/subject/3041806/
大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣,,2018/11/22,,1995/2/4,中国香港,https://movie.douban.com/subject/1292213/
机器人总动员 / WALL·E,,2018/11/22,,2008/6/27,美国,https://movie.douban.com/subject/2131459/
冒牌天神 / Bruce Almighty,,2018/11/22,,,,https://movie.douban.com/subject/1297018/
希特勒回来了 / Er ist wieder da,,2018/11/22,,2015/10/8,德国,https://movie.douban.com/subject/26585014/
集结号,,2018/11/22,,2007/12/20,中国大陆,https://movie.douban.com/subject/1907464/
非诚勿扰2,,2018/11/22,,2010/12/22,中国大陆,https://movie.douban.com/subject/4271894/
天空之城 / 天空の城ラピュタ,,2018/11/22,,1986/8/2,日本,https://movie.douban.com/subject/1291583/
喜剧之王 / 喜劇之王,,2018/11/22,,1999/2/13,中国香港,https://movie.douban.com/subject/1302425/
变形金刚2 / Transformers: Revenge of the Fallen,,2018/11/22,,2009/6/19,英国,https://movie.douban.com/subject/2146991/
非诚勿扰,3,2018/11/22,风景很美,2008/12/18,中国大陆,https://movie.douban.com/subject/3313801/
星空,,2018/11/22,,2011/11/3,中国大陆,https://movie.douban.com/subject/5993185/
狄仁杰之通天帝国,,2018/11/22,,2010/9/5,威尼斯电影节,https://movie.douban.com/subject/3412830/
社交网络 / The Social Network,,2018/11/22,,2010/9/24,纽约电影节,https://movie.douban.com/subject/3205624/
哈尔的移动城堡 / ハウルの動く城,,2018/11/22,,2004/9/5,威尼斯电影节,https://movie.douban.com/subject/1308807/
山楂树之恋,,2018/11/22,,2010/9/16,中国大陆,https://movie.douban.com/subject/4151110/
拯救大兵瑞恩 / Saving Private Ryan,,2018/11/22,,1998/7/24,美国,https://movie.douban.com/subject/1292849/
哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone,,2018/11/22,,2001/11/4,英国首映,https://movie.douban.com/subject/1295038/
哈利·波特与密室 / Harry Potter and the Chamber of Secrets,,2018/11/22,,2002/11/15,英国,https://movie.douban.com/subject/1296996/
哈利·波特与火焰杯 / Harry Potter and the Goblet of Fire,,2018/11/22,,2005/11/6,英国,https://movie.douban.com/subject/1309055/
哈利·波特与凤凰社 / Harry Potter and the Order of the Phoenix,,2018/11/22,,2007/7/11,美国,https://movie.douban.com/subject/1457217/
妖猫传,4,2018/11/20,云想衣裳花想容，春风拂槛露华浓。玄宗爱杨玉环吗？应该是爱的吧。但他更爱这大唐盛世。凤栖楼里藏着的玉环的头发，也不过是他眼中的大唐盛世。,2017/12/22,中国大陆,https://movie.douban.com/subject/5350027/
快把我哥带走,3,2018/11/18,,2018/8/17,中国大陆,https://movie.douban.com/subject/30122633/
我的父亲母亲,5,2018/11/17,章子怡为啥能这么好看。,1999/10/16,中国大陆,https://movie.douban.com/subject/1294007/
地心引力 / Gravity,4,2018/11/16,片名叫Gravity。女主从太空终于回到地球，再次感受到了重力。重力代表的就是希望吧。,2013/8/28,威尼斯电影节,https://movie.douban.com/subject/3793783/
银翼杀手2049 / Blade Runner 2049,4,2018/11/16,影片中，K曾两次伸出手，去感受从天而降的雪花。第一次是他以为自己是那个被生出来的孩子，他感觉到自己有了灵魂。第二次是知道自己不是那个孩子以后，他终于有了灵魂。,2017/10/6,美国,https://movie.douban.com/subject/10512661/
西虹市首富,3,2018/11/16,,2018/7/27,中国大陆,https://movie.douban.com/subject/27605698/
盗梦空间 / Inception,5,2018/11/16,,2010/7/16,美国,https://movie.douban.com/subject/3541415/
楚门的世界 / The Truman Show,5,2018/11/16,,1998/6/5,美国,https://movie.douban.com/subject/1292064/
活着,5,2018/11/16,,1994/5/17,戛纳电影节,https://movie.douban.com/subject/1292365/
十二怒汉 / 12 Angry Men,5,2018/11/16,,1957/4/13,美国,https://movie.douban.com/subject/1293182/
肖申克的救赎 / The Shawshank Redemption,5,2018/11/16,自由,1994/9/10,多伦多电影节,https://movie.douban.com/subject/1292052/
辛德勒的名单 / Schindler's List,5,2018/11/16,,1993/11/30,华盛顿首映,https://movie.douban.com/subject/1295124/
这个杀手不太冷 / Léon,5,2018/11/16,,1994/9/14,法国,https://movie.douban.com/subject/1295644/
阿甘正传 / Forrest Gump,5,2018/11/16,,1994/6/23,洛杉矶首映,https://movie.douban.com/subject/1292720/
当幸福来敲门 / The Pursuit of Happyness,5,2018/11/16,感动,2006/12/15,美国,https://movie.douban.com/subject/1849031/
贫民窟的百万富翁 / Slumdog Millionaire,4,2018/11/16,,2008/8/30,特柳赖德电影节,https://movie.douban.com/subject/2209573/
放牛班的春天 / Les choristes,5,2018/11/16,,2004/3/17,法国,https://movie.douban.com/subject/1291549/
怦然心动 / Flipped,5,2018/11/16,,2010/7/26,好莱坞首映,https://movie.douban.com/subject/3319755/
穿普拉达的女王 / The Devil Wears Prada,4,2018/11/16,,2006/6/30,美国,https://movie.douban.com/subject/1482072/
我的野蛮女友 / 엽기적인 그녀,5,2018/11/16,,2001/7/27,韩国,https://movie.douban.com/subject/1292286/
死侍2：我爱我家 / Deadpool 2,4,2018/11/16,,2018/5/18,美国,https://movie.douban.com/subject/26588308/
死侍 / Deadpool,3,2018/11/16,,2016/2/12,美国,https://movie.douban.com/subject/3718279/
地下交通站,5,2018/11/16,现在已经没有这样的情景喜剧了吧。家有儿女，闲人马大姐，东北一家人，炊事班的故事。贾贵，真的是整个东亚，都再也找不出一张这样的脸了。不过最喜欢的还是黄队长，那小得意的表情，绝了。,2007/5/6,中国大陆,https://movie.douban.com/subject/2133474/
火蓝刀锋,5,2018/11/16,虽然这部剧剧情，特效不怎么样，但人物刻画是真的到位。,2012/9/29,中国大陆,https://movie.douban.com/subject/10566537/
江湖儿女,3,2018/11/16,,2018/5/11,戛纳电影节,https://movie.douban.com/subject/26972258/
战狼2,1,2018/11/15,被迫害妄想症咋那么强呢。直男癌有多恐怖。(2 有用),2017/7/27,中国大陆,https://movie.douban.com/subject/26363254/
血观音 / 血觀音,4,2018/11/3,,2017/10/15,釜山电影节,https://movie.douban.com/subject/27113517/
碟中谍6：全面瓦解 / Mission: Impossible - Fallout,4,2018/9/19,刺激,2018/7/27,美国,https://movie.douban.com/subject/26336252/
光辉岁月 / Remember the Titans,4,2018/9/19,,2000/9/29,美国,https://movie.douban.com/subject/1292943/
无人知晓 / 誰も知らない,5,2018/8/5,,2004/5/13,戛纳电影节,https://movie.douban.com/subject/1292337/
后来的我们,2,2018/7/15,,2018/4/28,中国大陆,https://movie.douban.com/subject/26683723/
超时空同居,4,2018/7/5,,2018/5/18,中国大陆,https://movie.douban.com/subject/27133303/
我不是药神,4,2018/7/5,程勇被张长林举报，警察来搜查，他因害怕被抓将代理权给了张长林。这没什么好羞愧的。身旁的人根本没权利去指责他。后来他又因为羞愧，开始卖药，还以500块的价格卖进价2000的药。这点羞愧还不值得他这样对待这群和他不相干的人。电影总体值得赞赏。,2018/6/30,大规模点映,https://movie.douban.com/subject/26752088/
如父如子 / そして父になる,5,2018/5/31,,2013/9/28,日本,https://movie.douban.com/subject/10571509/
蜘蛛侠：英雄归来 / Spider-Man: Homecoming,3,2018/5/31,,2017/6/28,洛杉矶首映,https://movie.douban.com/subject/24753477/
暴裂无声,4,2018/5/31,,2017/7/27,FIRST青年影展,https://movie.douban.com/subject/26647117/
暴雪将至,3,2018/5/23,,2017/10/29,东京电影节,https://movie.douban.com/subject/26775933/
不成问题的问题,4,2018/5/11,,2016/10/29,东京电影节,https://movie.douban.com/subject/26657126/
蓝风筝,5,2018/5/11,,1993/5/21,戛纳电影节,https://movie.douban.com/subject/1303967/
猫鼠游戏 / Catch Me If You Can,4,2018/4/20,,2002/12/16,洛杉矶首映,https://movie.douban.com/subject/1305487/
重庆森林 / 重慶森林,5,2018/4/20,,1994/7/14,中国香港,https://movie.douban.com/subject/1291999/
小萝莉的猴神大叔 / Bajrangi Bhaijaan,4,2018/3/28,,2015/7/17,印度,https://movie.douban.com/subject/26393561/
天才枪手 / ฉลาดเกมส์โกง,4,2018/3/28,,2017/5/3,泰国,https://movie.douban.com/subject/27024903/
神秘巨星 / Secret Superstar,4,2018/3/28,,2017/10/18,印度,https://movie.douban.com/subject/26942674/
唐人街探案2,4,2018/2/24,,2018/2/16,中国大陆,https://movie.douban.com/subject/26698897/
海边的曼彻斯特 / Manchester by the Sea,5,2018/2/20,,2016/1/23,圣丹斯电影节,https://movie.douban.com/subject/25980443/
步履不停 / 歩いても 歩いても,5,2018/2/19,,2008/6/28,日本,https://movie.douban.com/subject/2222996/
芳华,2,2018/2/18,一部很奇怪的电影，搞不懂想表达的是什么。如果仅仅想表达的是那代人的青春，那和致青春、小时代除了年代背景，没有任何区别，只不过换了个壳。也许冯导在怀念自己的青春？,2017/9/7,多伦多电影节,https://movie.douban.com/subject/26862829/
比海更深 / 海よりもまだ深く,5,2018/2/17,这样一个雨夜如此美好。,2016/5/18,戛纳电影节,https://movie.douban.com/subject/26694988/
海街日记 / 海街diary,5,2018/2/16,如果在告别这个世界的时候，还能有感受美好的能力，那也是一件美好的事情吧。,2015/5/14,戛纳电影节,https://movie.douban.com/subject/25895901/
失恋33天,4,2018/2/15,,2011/11/8,中国大陆,https://movie.douban.com/subject/4873490/
北京遇上西雅图,4,2018/2/15,,2013/3/21,中国大陆,https://movie.douban.com/subject/10574468/
寻梦环游记 / Coco,5,2018/2/8,,2017/11/22,美国,https://movie.douban.com/subject/20495023/
十月围城,4,2018/2/8,,2009/12/18,中国大陆,https://movie.douban.com/subject/3626416/
飞屋环游记 / Up,4,2018/2/8,,2009/5/13,戛纳电影节,https://movie.douban.com/subject/2129039/
手机,4,2018/1/13,,2003/12/18,中国大陆,https://movie.douban.com/subject/1308747/
相爱相亲,5,2017/12/31,记忆中的你似乎不是这个模样。,2017/10/21,釜山电影节,https://movie.douban.com/subject/26773744/
被嫌弃的松子的一生 / 嫌われ松子の一生,3,2017/12/30,她只不过是想要一个爱她的人。她的悲剧由缺失的爱和自身的选择造成。她一次次的被抛弃，可是直到最后也没有放弃希望。,2006/5/27,日本,https://movie.douban.com/subject/1787291/
最爽的一天 / Der geilste Tag,3,2017/12/29,,2016/2/25,德国,https://movie.douban.com/subject/26680247/
浮城谜事,5,2017/12/29,离奇又平凡的故事，精彩的表达。,2012/10/19,中国大陆,https://movie.douban.com/subject/10438426/
围城,5,2017/12/29,,1990/4/22,中国大陆,https://movie.douban.com/subject/1478168/
看不见的客人 / Contratiempo,4,2017/12/28,,2016/9/23,奇幻电影节,https://movie.douban.com/subject/26580232/
缝纫机乐队,4,2017/12/28,,2017/9/29,中国大陆,https://movie.douban.com/subject/26926321/
"名侦探柯南：章节ONE 变小的名侦探 / 名探偵コナン エピソード ""ON...",3,2017/12/28,,2016/12/9,日本,https://movie.douban.com/subject/26877406/
记忆大师,3,2017/12/28,,2017/4/23,北京电影节,https://movie.douban.com/subject/25884801/
逃学威龙 / 逃學威龍,3,2017/11/14,,1991/7/18,中国香港,https://movie.douban.com/subject/1302090/
赌侠 / 賭俠,3,2017/11/14,,1990/12/13,中国香港,https://movie.douban.com/subject/1300566/
逃学威龙2 / 逃學威龍2,3,2017/11/14,,1992/4/9,中国香港,https://movie.douban.com/subject/1296201/
逃学威龙3之龙过鸡年 / 逃學威龍III之龍過雞年,3,2017/11/14,,,,https://movie.douban.com/subject/1302678/
闪光少女,4,2017/11/14,,2017/6/18,上海电影节,https://movie.douban.com/subject/26790961/
我心雀跃,4,2017/11/14,,2016/6/14,上海国际电影节,https://movie.douban.com/subject/26761334/
羞羞的铁拳,4,2017/10/4,,2017/9/30,中国大陆,https://movie.douban.com/subject/27038183/
杀生,2,2017/9/15,,2012/4/28,中国大陆,https://movie.douban.com/subject/4176542/
敦刻尔克 / Dunkirk,5,2017/9/4,二刷，四星变五星。三条线平行剪辑，流畅自然。电影技术上的教科书。,2017/7/13,伦敦首映,https://movie.douban.com/subject/26607693/
心理罪,3,2017/8/13,,2017/8/11,中国大陆,https://movie.douban.com/subject/26698000/
有完没完,2,2017/7/26,,2017/4/1,中国大陆,https://movie.douban.com/subject/26828019/
罗生门 / 羅生門,4,2017/7/23,,1950/8/26,日本,https://movie.douban.com/subject/1291879/
一条狗的使命 / A Dog's Purpose,3,2017/7/17,,2017/1/27,美国,https://movie.douban.com/subject/6873143/
一夜到永远？ / Für eine Nacht... und immer?,3,2017/7/17,,2015/11/27,德国电视首映,https://movie.douban.com/subject/26674742/
大护法,4,2017/7/14,,2017/7/13,中国大陆,https://movie.douban.com/subject/26811587/
天浴,4,2017/6/24,,,,https://movie.douban.com/subject/1302836/
林来疯 / Linsanity,5,2017/6/17,只有失败能让你成长。,2013/1/20,圣丹斯电影节,https://movie.douban.com/subject/20398972/
重返·狼群,3,2017/6/16,配音有点尴尬，去掉就好了。,2017/6/16,中国大陆,https://movie.douban.com/subject/26920269/
傲慢与偏见 / Pride & Prejudice,4,2017/6/15,,2005/9/16,英国,https://movie.douban.com/subject/1418200/
加勒比海盗5：死无对证 / Pirates of the Caribbean: Dead Men Tel...,3,2017/6/12,,2017/5/26,中国大陆,https://movie.douban.com/subject/6311303/
地球上的星星 / Taare Zameen Par,4,2017/5/10,,2007/12/21,印度,https://movie.douban.com/subject/2363506/
摔跤吧！爸爸 / Dangal,5,2017/5/7,,2016/12/23,印度,https://movie.douban.com/subject/26387939/
三傻大闹宝莱坞 / 3 Idiots,5,2017/5/7,可以给六星。,2009/12/25,印度,https://movie.douban.com/subject/3793023/
忠犬八公的故事 / Hachi: A Dog's Tale,4,2017/5/7,,2009/6/13,西雅图电影节,https://movie.douban.com/subject/3011091/
小男孩 / Little Boy,4,2017/5/5,,2015/4/24,美国,https://movie.douban.com/subject/10773239/
银河护卫队2 / Guardians of the Galaxy Vol. 2,3,2017/5/5,,2017/4/19,洛杉矶首映,https://movie.douban.com/subject/25937854/
人民的名义,3,2017/5/2,,2017/3/28,中国大陆,https://movie.douban.com/subject/26727273/
春娇救志明 / 春嬌救志明,5,2017/5/1,爱情是这种样子。,2017/4/11,中国香港电影节,https://movie.douban.com/subject/26639958/
蜡笔小新：梦境世界大突击 / クレヨンしんちゃん 爆睡!ユメミーワ...,4,2017/3/29,,2016/4/16,日本,https://movie.douban.com/subject/26660834/
情圣,3,2017/3/27,,2016/12/30,中国大陆,https://movie.douban.com/subject/26879060/
杀人回忆 / 살인의 추억,5,2017/2/25,不敢看第二遍。,2003/5/2,韩国,https://movie.douban.com/subject/1300299/
欢乐好声音 / Sing,4,2017/2/22,可爱,2016/9/11,多伦多电影节,https://movie.douban.com/subject/26354572/
飞越老人院,4,2017/2/22,生命,2012/5/8,中国大陆,https://movie.douban.com/subject/6872244/
飞越疯人院 / One Flew Over the Cuckoo's Nest,4,2017/2/22,,1975/11/19,美国,https://movie.douban.com/subject/1292224/
追击者 / 추격자,4,2017/2/19,讽刺警察很到位。,2008/2/14,韩国,https://movie.douban.com/subject/3006309/
爱乐之城 / La La Land,5,2017/2/15,惋惜，帅，美，想哭。,2016/8/31,威尼斯电影节,https://movie.douban.com/subject/25934014/
乘风破浪,3,2017/2/15,有些地方好笑，总体还行。,2017/1/28,中国大陆,https://movie.douban.com/subject/26862259/
功夫瑜伽,3,2017/2/15,,2017/1/28,中国大陆,https://movie.douban.com/subject/26182910/
名侦探柯南：贝克街的亡灵 / 名探偵コナン ベイカー街の亡霊,5,2017/1/24,,2002/4/20,日本,https://movie.douban.com/subject/2286642/
魔弦传说 / Kubo and the Two Strings,4,2017/1/13,,2016/8/19,美国,https://movie.douban.com/subject/26287884/
星球大战外传：侠盗一号 / Rogue One: A Star Wars Story,4,2017/1/6,,2016/12/16,美国,https://movie.douban.com/subject/25894431/
你好，疯子！,3,2016/12/30,,2016/12/30,中国大陆,https://movie.douban.com/subject/26696879/
我在故宫修文物,5,2016/12/29,,2016/1/7,中国大陆,https://movie.douban.com/subject/26703457/
我们天上见,5,2016/12/28,哭瞎。,2009/10/10,釜山电影节,https://movie.douban.com/subject/3732800/
白日梦想家 / The Secret Life of Walter Mitty,4,2016/12/26,,2013/12/25,美国,https://movie.douban.com/subject/2133323/
布达佩斯大饭店 / The Grand Budapest Hotel,3,2016/12/26,,2014/2/6,柏林电影节,https://movie.douban.com/subject/11525673/
厨子戏子痞子,3,2016/12/24,,2013/3/29,中国大陆,https://movie.douban.com/subject/6011806/
致我们终将逝去的青春,4,2016/12/24,喜欢杨子姗,2013/4/26,中国大陆,https://movie.douban.com/subject/6973376/
中国合伙人,3,2016/12/24,,2013/5/17,中国大陆,https://movie.douban.com/subject/11529526/
盲探,5,2016/12/24,到现在的人生看过的最贵的一场电影，无锡某个万达。不过真的好看。,2013/5/19,戛纳电影节,https://movie.douban.com/subject/6872273/
天台爱情,2,2016/12/24,,2013/7/11,中国大陆,https://movie.douban.com/subject/10833924/
狄仁杰之神都龙王,5,2016/12/24,,2013/9/28,中国大陆,https://movie.douban.com/subject/5996801/
冰雪奇缘 / Frozen,4,2016/12/24,,2013/11/27,美国,https://movie.douban.com/subject/4202982/
超凡蜘蛛侠2 / The Amazing Spider-Man 2,5,2016/12/24,脑残粉,2014/5/2,美国,https://movie.douban.com/subject/6082518/
明日边缘 / Edge of Tomorrow,3,2016/12/24,,2014/6/6,美国,https://movie.douban.com/subject/4746257/
老男孩猛龙过江,4,2016/12/24,,2014/7/10,中国大陆,https://movie.douban.com/subject/25755645/
后会无期,3,2016/12/24,,2014/7/24,中国大陆,https://movie.douban.com/subject/25805741/
绣春刀,3,2016/12/24,,2014/8/7,中国大陆,https://movie.douban.com/subject/24745500/
等一个人咖啡 / 等一個人咖啡,2,2016/12/24,,2014/8/15,中国台湾,https://movie.douban.com/subject/25753166/
超体 / Lucy,4,2016/12/24,,2014/7/25,美国,https://movie.douban.com/subject/24404677/
大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒,3,2016/12/24,,1995/1/21,中国香港,https://movie.douban.com/subject/1299398/
智取威虎山,5,2016/12/24,,2014/12/23,中国大陆,https://movie.douban.com/subject/10807909/
超能陆战队 / Big Hero 6,5,2016/12/24,,2014/10/23,东京电影节,https://movie.douban.com/subject/11026735/
帕丁顿熊 / Paddington,5,2016/12/24,,2014/11/23,伦敦首映,https://movie.douban.com/subject/2998373/
王牌特工：特工学院 / Kingsman: The Secret Service,5,2016/12/24,宿舍一起看的,2014/12/13,BNAT电影节,https://movie.douban.com/subject/24405378/
速度与激情7 / Furious 7,3,2016/12/24,,2015/4/3,美国,https://movie.douban.com/subject/23761370/
我的个神啊 / PK,4,2016/12/24,,2014/12/19,印度,https://movie.douban.com/subject/10741643/
捉妖记,3,2016/12/24,,2015/7/16,中国大陆,https://movie.douban.com/subject/25723907/
破风 / 破風,4,2016/12/24,在苏州看得,2015/8/7,中国大陆,https://movie.douban.com/subject/25853727/
滚蛋吧！肿瘤君,3,2016/12/24,,2015/8/13,中国大陆,https://movie.douban.com/subject/26289144/
头脑特工队 / Inside Out,4,2016/12/24,,2015/6/19,美国,https://movie.douban.com/subject/10533913/
蚁人 / Ant-Man,3,2016/12/24,,2015/7/17,美国,https://movie.douban.com/subject/1866473/
我是证人,3,2016/12/24,,2015/10/30,中国大陆,https://movie.douban.com/subject/26313973/
七月与安生,3,2016/12/24,,2016/9/14,中国大陆,https://movie.douban.com/subject/25827935/
盛先生的花儿,3,2016/12/23,一般般。,2016/6/12,上海国际电影节,https://movie.douban.com/subject/26779337/
玩命追踪 / Blitz,,2016/12/23,,2011/5/20,英国,https://movie.douban.com/subject/3238087/
春娇与志明 / 春嬌與志明,,2016/12/23,,2012/3/29,中国香港,https://movie.douban.com/subject/6386345/
